# Kepler Asteroseismic Data
# Red Giant Pixel Corrected data - Corrected and Filtered timeseries, by KaDAT (KASC Data Analysis Team)
# KIC:       11968334
# Version:   1 (Q0-Q13)
# Unique ID: 4772009
# 
# Column 1: Time (truncated barycentric julian date)
# Column 2: Relative flux (ppm)
# Column 3: Flux error (ppm)
#---------------------------
  54953.5378416  -1.9158602071374571e+08                     -Inf
  54953.5582758   1.3241805048858921e+08                     -Inf
  54953.5787100   1.7389075345038447e+08                     -Inf
  54953.5991444   1.3620209264155847e+08                     -Inf
  54953.6195787   2.5591772636072618e+08                     -Inf
  54953.6400129   1.0428743937859483e+08                     -Inf
  54953.6604471   7.2663085771384418e+07                     -Inf
  54953.6808815   7.1268425625775471e+07                     -Inf
  54953.7013157   4.0669752419822639e+08                     -Inf
  54953.7217500   3.9290378673289448e+08                     -Inf
  54953.7421844   2.6039851812411535e+08                     -Inf
  54953.7626185   2.5313130480230251e+08                     -Inf
  54953.7830528   2.3483177154717007e+08                     -Inf
  54953.8034871   2.7495803763479882e+08                     -Inf
  54953.8239214   1.3082767489052095e+08                     -Inf
  54953.8443557   2.1129757391121194e+08                     -Inf
  54953.8647899   4.9555894737523931e+08                     -Inf
  54953.8852243   5.9028779318274081e+08                     -Inf
  54953.9056585   5.1288491063019401e+08                     -Inf
  54953.9260928   3.4548346583076084e+08                     -Inf
  54953.9465272   3.1497514448148692e+08                     -Inf
  54953.9669614   3.9673330033473766e+08                     -Inf
  54953.9873956   2.3835206799242815e+08                     -Inf
  54954.0078298   5.0561843368848272e+07                     -Inf
  54954.0282642   7.7966731326702192e+07                     -Inf
  54954.0486985   1.9604881924865466e+08                     -Inf
  54954.0691328   1.4294517742583838e+08                     -Inf
  54954.0895670  -8.0069321798834369e+07                     -Inf
  54954.1100013  -8.4347919422720268e+07                     -Inf
  54954.1304356   1.3518782303670952e+07                     -Inf
  54954.1508698   2.4949247258369884e+08                     -Inf
  54954.1713042   3.6011612304724678e+07                     -Inf
  54954.1917384  -9.5774544342959374e+07                     -Inf
  54954.2121726  -7.4205831900586456e+07                     -Inf
  54954.2326070   2.0382079709245298e+07                     -Inf
  54954.2530413  -6.9092310661627829e+07                     -Inf
  54954.2734755  -1.7575380764209826e+07                     -Inf
  54954.2939097   5.0261748663073353e+07                     -Inf
  54954.3143441  -3.4553556279943332e+07                     -Inf
  54954.3347784  -2.1590114063738349e+08                     -Inf
  54954.3552126  -1.9232076595639944e+08                     -Inf
  54954.3756470  -4.1202884316919841e+07                     -Inf
  54954.3960813  -1.7813522595996594e+08                     -Inf
  54954.4165154  -3.3622508857377809e+08                     -Inf
  54954.4369497  -6.7477878734458223e+07                     -Inf
  54954.4573841   1.7169811812219150e+07                     -Inf
  54954.4778183  -4.2122956162187196e+07                     -Inf
  54954.4982526  -7.5350640300014332e+07                     -Inf
  54954.5186868   1.0988372698069255e+08                     -Inf
  54954.5391212   2.6780319340717232e+08                     -Inf
  54954.5595555   1.3022298691361414e+08                     -Inf
  54954.5799897  -5.7096739541896870e+06                     -Inf
  54954.6004241   1.2469527902561399e+08                     -Inf
  54954.6208584   1.6358805789039263e+08                     -Inf
  54954.6412925   3.2415332546260285e+08                     -Inf
  54954.6617268   3.1289891903032517e+08                     -Inf
  54954.6821612   3.9168370059536690e+08                     -Inf
  54954.7025954   2.3068805738502121e+08                     -Inf
  54954.7230297   2.2542225270862874e+08                     -Inf
  54954.7434640   1.2194056597827010e+07                     -Inf
  54954.7638982  -4.9553352602097476e+06                     -Inf
  54954.7843325  -2.0031964984323218e+07                     -Inf
  54954.8047668  -1.5765524992076424e+08                     -Inf
  54954.8252011  -1.7990184410621366e+08                     -Inf
  54954.8456354  -1.2670063756022012e+08                     -Inf
  54954.8660696  -2.4430698886206877e+08                     -Inf
  54954.8865039  -2.3564311904004633e+08                     -Inf
  54954.9069382  -2.4842487030368382e+08                     -Inf
  54954.9273725  -2.4334129793967435e+08                     -Inf
  54954.9478067  -2.0538923464999241e+08                     -Inf
  54954.9682410   1.6043930183391813e+06                     -Inf
  54954.9886753   2.3939081061373371e+08                     -Inf
  54955.0091095   2.7292242680165780e+08                     -Inf
  54955.0295439   2.2634573342097110e+08                     -Inf
  54955.0499782   3.4354001595678401e+08                     -Inf
  54955.0704125   6.0501479512191105e+08                     -Inf
  54955.0908466   5.3111295202662766e+08                     -Inf
  54955.1112810   3.2637976314390212e+08                     -Inf
  54955.1317153   1.4468261573958355e+08                     -Inf
  54955.1521495   1.4029950201677957e+08                     -Inf
  54955.1725839   2.6840304993012756e+08                     -Inf
  54955.1930182   2.0149540548867503e+08                     -Inf
  54955.2134523   2.3560775013455865e+08                     -Inf
  54955.2338866   3.1057222591876704e+08                     -Inf
  54955.2543210   2.2002391066637668e+08                     -Inf
  54955.2747552   1.2508629367895949e+08                     -Inf
  54955.2951895   2.6325946350133121e+08                     -Inf
  54955.3156239   1.7410369978359649e+08                     -Inf
  54955.3360580   1.0410859317049232e+08                     -Inf
  54955.3564923  -5.2228819763048559e+07                     -Inf
  54955.3769266  -2.3724809448530313e+07                     -Inf
  54955.3973610   8.6196377276105642e+07                     -Inf
  54955.4177952   8.8389888059213966e+07                     -Inf
  54955.4382294  -8.0064283089782089e+07                     -Inf
  54955.4586638  -1.0461476618254612e+08                     -Inf
  54955.4790980  -6.5629131549025215e+07                     -Inf
  54955.4995323  -9.6562242224211901e+07                     -Inf
  54955.5199665   1.2303927991467419e+08                     -Inf
  54955.5404009   7.0107136970244408e+07                     -Inf
