#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000      208.37784      27.15068
   1765.4432      567.07861      27.17968
   3530.8691      505.32819      27.18093
   5296.3123      533.58081      27.17605
   7061.7470      420.33197      27.18232
   8827.1730      204.80156      27.18567
  10592.6163      -28.01418      27.18108
  12358.0510      -95.12901      27.18770
  14123.4771     -372.29062      27.17997
  15888.9205     -360.07166      27.18054
  17654.3553     -313.46082      27.19490
  19419.7815     -413.17938      27.19266
  21185.2250     -558.13788      27.19429
  22950.6598     -769.55554      27.18033
  24716.1034     -654.22058      27.19106
  26481.5297       28.01418      27.20188
  28246.9646      -13.41105      27.19810
  30012.3996     -685.75146      27.18456
  31777.8346     -868.91650      27.18762
  33543.2697     -541.98505      27.19363
  35308.7048      -77.48604      27.20292
  37074.1399      -53.52497      27.21280
  38839.5836     -433.80261      27.20297
  40605.0188     -683.66528      27.19953
  42370.4453     -297.24835      27.20462
  44135.8892      198.60268      27.21159
  45901.3244      -49.23344      27.20642
  47666.7511     -387.90704      27.19800
  49432.1950     -379.74118      27.20008
  51197.6303       18.47744      27.20721
  52963.0570      520.58698      27.22073
  54728.5011      238.89542      27.20988
  56493.9365      188.23148      27.21179
  58259.3806      161.88622      27.21066
  60024.8074      372.76746      27.21801
  61790.2429      585.55603      27.22144
  63555.6871      602.36456      27.21960
  65321.1140      273.94293      27.21679
  67086.5496     -140.30933      27.21249
  68851.9938      152.11105      27.21295
  70617.4208      153.06473      27.21576
  72382.8565     -181.85378      27.21189
  74148.3008     -414.19269      27.20450
  75913.7279     -265.18106      27.21157
  77679.1723       85.47306      27.21907
  79444.6081      118.85166      27.21864
  81210.0439      -69.85664      27.21333
  82975.4797     -446.37918      27.21261
  84740.9156     -564.57520      27.21142
  86506.3515     -517.07031      27.21416
  88271.7874     -388.74149      27.21111
  90037.2234     -502.88440      27.21150
  91802.6593     -765.20441      27.20373
  93568.0954     -717.04388      27.19955
  97098.9675     -220.83521      27.21550
  98864.4035     -229.59709      27.21814
 100629.8397       63.06171      27.21991
 102395.2845      111.46069      27.21372
 104160.7120      -72.59846      27.21772
 105926.1482      -54.77667      27.21818
 107691.5931      287.77124      27.22404
