#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000       50.18711      57.19667
   1765.4542       99.42055      57.28300
   3530.8912       95.96348      57.28883
   5296.3454      173.44952      57.31150
   7061.7910      359.05838      57.32227
   8827.2281      524.28247      57.32073
  10592.6824      208.85468      57.30884
  12358.1281      162.36305      57.31684
  14123.5652      397.08615      57.32180
  15889.0196      245.45193      57.32851
  17654.4654     -133.39520      57.32490
  19419.9025     -525.05731      57.31618
  21185.3570     -330.15012      57.31482
  22950.8029     -108.54005      57.32767
  24716.2574     -296.59271      57.33357
  26481.6946     -598.13263      57.31753
  28247.1406     -587.76141      57.32248
  30012.5865     -342.01144      57.33004
  31778.0325     -187.99304      57.33757
  33543.4785     -278.83054      57.32688
  35308.9245      -86.96318      57.33791
  37074.3705       -5.06639      57.34326
  38839.8252     -213.38463      57.34035
  40605.2713     -202.47697      57.34497
  42370.7088       57.69730      57.34944
  44136.1636      196.81454      57.36499
  45901.6098      212.78857      57.35511
  47667.0473      222.92137      57.36295
  49432.5022      273.34689      57.35968
  51197.9484      -53.76339      57.35666
  52963.3860     -141.79945      57.34633
  54728.8409     -118.43443      57.35604
  56494.2873     -208.43744      57.32790
  58259.7422     -164.56842      57.35092
  60025.1799     -324.54730      57.33995
  61790.6263      143.17035      57.35926
  63556.0814      169.51561      57.33499
  65321.5192     -262.67767      57.33398
  67086.9656     -261.90280      57.35404
  68852.4207       32.78255      57.35816
  70617.8586       79.15497      57.35957
  72383.3051       68.90297      57.34895
  74148.7603      241.63724      57.34324
  75914.1982      185.01282      57.35588
  77679.6535       46.25320      57.35017
  79445.1001     -338.31598      57.33456
  81210.5467     -300.88425      57.34573
  82975.9934     -373.89993      57.33849
  84741.4401     -170.46928      57.34162
  86506.8868     -351.19055      57.34205
  88272.3336     -181.13852      57.35706
  90037.7803     -145.07770      57.34635
  91803.2271     -404.11951      57.34175
  93568.6739     -140.07092      57.34159
  97099.5676     -303.26843      57.33620
  98865.0145     -143.34917      57.34616
 100630.4614       11.80172      57.34530
 102395.9170      244.37904      57.35635
 104161.3553      327.82556      57.35680
 105926.8023      -93.81771      57.35755
 107692.2580     -107.34796      57.33593
 109457.6964      -11.80172      57.34308
 111223.1521      235.43835      57.36360
 112988.5991      335.33572      57.35616
 114754.0376      207.78180      57.37186
 116519.4934      225.30556      57.34966
 118284.9405      243.06775      57.35616
 120050.3791       -4.17233      57.34705
 121815.8349      179.29077      57.35929
 123581.2821       -7.39098      57.34034
 125346.7380     -117.83838      57.34036
 127112.1766       18.59665      57.34458
 128877.6239      -35.16674      57.35693
 130643.0799      -24.43790      57.35992
 132408.5186     -355.12448      57.34966
 134173.9660     -118.85166      57.34524
