#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000     -171.00572      69.14979
   1765.4356     -179.82721      69.16587
   3530.8539      232.81573      69.20289
   5296.2896      185.60886      69.19434
   7061.7166      238.89542      69.20821
   8827.1350      373.48270      69.19632
  10592.5707      260.71072      69.19126
  12357.9977      279.30737      69.21761
  14123.4162      112.41436      69.22690
  15888.8519      351.54819      69.23270
  17654.2790      171.30374      69.23177
  19419.6975      270.84351      69.21250
  21185.1333      440.00150      69.23119
  22950.5605      306.48709      69.23103
  24715.9964       84.51939      69.28096
  26481.4149      -78.14169      69.20274
  28246.8422      145.79297      69.25139
  30012.2694      153.54156      69.25277
  31777.6967       17.76218      69.23611
  33543.1240      -24.02067      69.23146
  35308.5513      332.59393      69.26158
  37073.9786       22.05372      69.24723
  38839.4146     -318.16959      69.23965
  40604.8420       54.95548      69.27106
  42370.2607      401.61609      69.27905
  44135.6968     -112.65278      69.26054
  45901.1242     -755.48889      69.23926
  47666.5430     -193.77470      69.24395
  49431.9791      248.90900      69.28078
  51197.4066      -38.14697      69.26984
  52962.8254        5.24521      69.27472
  54728.2616       -7.68900      69.27477
  56493.6891      -88.69171      69.28084
  58259.1253     -238.29938      69.24214
  60024.5443      -99.48015      69.26731
  61789.9719      350.23688      69.28184
  63555.4081      364.18439      69.28536
  65320.8271     -123.02399      69.28056
  67086.2547      -17.64297      69.28181
  68851.6910      -61.75041      69.30183
  70617.1101     -190.13882      69.27988
  72382.5378     -200.03319      69.29560
  74147.9742        7.98702      69.27783
  75913.3933        9.77516      69.29510
  77678.8297     -130.23615      69.31100
  79444.2574      -82.79085      69.28881
  81209.6852      -20.14637      69.29621
  82975.1130       87.97646      69.31680
  84740.5409        4.17233      69.31912
  86505.9687       -0.59605      69.32829
  88271.3966      -52.33288      69.31351
  90036.8245       48.87581      69.31713
  91802.2524        8.94070      69.33286
  93567.6803     -165.70091      69.31754
  97098.5362      157.95230      69.33289
  98863.9642        9.89437      69.32193
 100629.3922     -204.80156      69.30875
 102394.8289     -104.42734      69.30563
 104160.2483     -104.24852      69.30756
 105925.6764     -241.51802      69.29554
 107691.1131     -476.53912      69.29655
 109456.5325     -531.07739      69.31564
 111221.9693      -85.47306      69.32097
 112987.3974      173.21109      69.34192
 114752.8169       43.98823      69.32265
 116518.2538     -266.13474      69.31826
 118283.6820     -340.04449      69.31354
 120049.1015      -89.70499      69.31968
 121814.5384        2.50340      69.34265
 123579.9666     -231.80246      69.31536
 125345.4035     -227.80896      69.33034
 127110.8232      -79.81062      69.33106
 128876.2515       94.77139      69.34819
 130641.6885     -194.48996      69.33186
 132407.1082     -218.80865      69.33345
 134172.5365       78.67813      69.33795
 135937.9735       57.33967      69.33455
 137703.4019     -161.17096      69.34374
 139468.8217     -378.25107      69.33832
 141234.2502     -404.59631      69.32276
 142999.6873     -395.71524      69.32143
 144765.1157     -137.20990      69.34106
 146530.5442       36.35883      69.33048
 148295.9641     -304.22211      69.33661
 150061.4013     -261.72400      69.34125
 151826.8298      153.89920      69.36154
 153592.2498      520.46777      69.36329
 155357.6870      239.25305      69.35146
