#   Time (s)     Flux (ppm)    Error (ppm)
 323074.6044      139.11725      50.67342
 324840.0407      151.15738      50.67572
 326605.4684      263.09491      50.67735
 328370.9134      183.58231      50.67750
 330136.3498      212.66937      50.67579
 331901.7948       62.82330      50.67145
 333667.2226      -84.75780      50.67156
 335432.6590      229.71631      50.67535
 337198.1041      174.99924      50.67182
 338963.5319     -299.09610      50.67244
 340728.9684     -468.90973      50.65533
 342494.4136     -496.50668      50.67049
 344259.8414     -284.01614      50.66918
 346025.2780      -12.69579      50.67073
 347790.7232       28.49102      50.67154
 349556.1598      316.73907      50.67975
 351321.5964       48.51818      50.66990
 354852.4697     -143.40878      50.67345
 356617.9150        7.39098      50.67532
 358383.3430       48.75660      50.67229
 360148.7797       22.53056      50.68015
 361914.2165      206.82812      50.67806
 363679.6532      451.44559      50.68616
 365445.0986      359.65442      50.68174
 367210.5268      -83.02927      50.67396
 368975.9636     -180.72128      50.67445
 370741.4090      145.19691      50.67792
 372506.8372      351.78662      50.67526
 374272.2741      391.96014      50.68199
 376037.7196      182.03259      50.67493
 377803.1479     -486.49310      50.66710
 379568.5848     -559.56842      50.66691
 381334.0304     -345.46851      50.66965
 383099.4587     -582.93341      50.66380
 384864.9044     -532.98474      50.66990
 386630.3414     -355.66092      50.66611
 388395.7784      -29.68311      50.67142
 390161.2154     -120.99743      50.67027
 391926.6525     -175.35687      50.67381
 393692.0896       65.80353      50.67694
 395457.5267       64.01539      50.67682
 397222.9638      174.16476      50.68235
 398988.4096      240.44513      50.68001
 400753.8467      307.44077      50.67791
 402519.2753      266.79041      50.68007
 404284.7211      465.75070      50.67876
 406050.1583      775.09882      50.69551
 407815.5869      528.09717      50.68263
 409581.0328      128.14999      50.67803
 411346.4701       96.91715      50.68272
 413111.8988     -187.03937      50.67066
 414877.3447     -350.59451      50.67005
 416642.7821     -359.17758      50.66827
 418408.2194     -293.01642      50.66267
 420173.6568     -288.90372      50.65921
 421939.0942     -476.95636      50.64778
