#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000      -27.95458      36.10614
   1765.4309      171.42296      36.17060
   3530.8444      411.15283      36.18883
   5296.2754      316.38147      36.18540
   7061.6976      226.97449      36.18924
   8827.1113      250.45871      36.18967
  10592.5423      424.14667      36.18995
  12357.9646      586.03284      36.19805
  14123.3784      487.20837      36.20321
  15888.8094      275.49268      36.18914
  17654.2318      144.72008      36.19490
  19419.6456      130.65338      36.19599
  21185.0767      -14.30511      36.19508
  22950.4992      258.20734      36.19991
  24715.9304      523.44800      36.20724
  26481.3443      436.06757      36.20679
  28246.7668      190.37723      36.19768
  30012.1894       94.53297      36.20691
  31777.6120      264.40619      36.20510
  33543.0346      269.17456      36.21116
  35308.4573      153.42236      36.20559
  37073.8800     -178.33710      36.19464
  38839.3113      -75.57869      36.20933
  40604.7340      170.23087      36.20515
  42370.1481      534.89209      36.21075
  44135.5795      369.42960      36.22150
  45901.0023       70.21427      36.20626
  47666.4165      281.21472      36.20760
  49431.8480      295.16220      36.20816
  51197.2708      279.18817      36.21463
  52962.6851      346.66061      36.20559
  54728.1166      450.96875      36.21549
  56493.5395      463.84335      36.21344
  58258.9711      597.47693      36.20665
  60024.3855      365.25726      36.21240
  61789.8085       34.45148      36.20663
  63555.2401        7.51019      36.19975
  65320.6545      145.79297      36.20589
  67086.0776      462.88968      36.21167
  68851.5093      484.82419      36.21853
  70616.9238      106.93073      36.20729
  72382.3469     -197.70860      36.20916
  74147.7787      -45.12072      36.19964
  75913.1933      266.19434      36.20697
  77678.6251      151.99185      36.21264
  79444.0483       23.48423      36.20374
  81209.4716       73.79055      36.21226
  82974.8949      349.64084      36.21276
  84740.3182      665.66467      36.22377
  86505.7415      587.10577      36.21953
  88271.1648      218.98746      36.21377
  90036.5882      -55.49192      36.20377
  91802.0116     -141.79945      36.21059
  93567.4350      153.66077      36.21481
  97098.2819       31.47125      36.21401
  98863.7054     -378.78751      36.20333
 100629.1289     -298.44046      36.20401
 102394.5610      276.32715      36.21505
 104159.9760      622.39172      36.21803
 105925.3995       64.61143      36.21004
 107690.8318     -235.02112      36.20985
 109456.2468     -257.01523      36.20871
 111221.6790     -131.90508      36.20197
 112987.1027      140.07092      36.21322
 114752.5178      378.84711      36.21239
 116517.9501      206.58969      36.21707
 118283.3739     -148.29636      36.21055
 120048.7890     -269.88983      36.20410
 121814.2214     -160.63452      36.21352
 123579.6452     -261.48557      36.20473
 125345.0777     -413.06018      36.20399
 127110.4929     -190.19843      36.20549
 128875.9168     -321.03061      36.19836
 130641.3493     -479.34055      36.20403
 132406.7646     -367.82025      36.20011
 134172.1886     -307.61957      36.20540
 135937.6212     -186.20491      36.20538
 137703.0452     -391.12567      36.21192
 139468.4605     -713.64642      36.20030
 141233.8846     -608.44421      36.20795
