#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000      -10.19239      19.08772
   1765.4480       20.98083      19.10778
   3530.8787       -7.80821      19.11169
   5296.3267        9.05991      19.10964
   7061.7661       28.72944      19.11026
   8827.1969      -60.73713      19.11413
  10592.6450       97.87083      19.11116
  12358.0844      290.03619      19.11843
  14123.5153      201.22528      19.11675
  15888.9634      156.04495      19.11886
  17654.4030      401.02005      19.12132
  19419.8339      377.53583      19.12251
  21185.2822      150.20370      19.11816
  22950.7218       94.65218      19.11846
  24716.1700      233.05417      19.12010
  26481.6011      156.52179      19.11936
  28247.0408      -22.59016      19.11800
  30012.4805      -80.64508      19.11987
  31777.9202     -141.85905      19.11719
  33543.3600     -229.59709      19.11827
  35308.7998      -69.55862      19.11596
  37074.2396      224.11346      19.11791
  38839.6880      233.41179      19.12186
  40605.1279     -196.45691      19.11596
  42370.5592     -300.58621      19.11611
  44136.0077     -168.85995      19.11527
  45901.4476      143.76640      19.12356
  47666.8789      125.28896      19.12034
  49432.3276      -30.51758      19.12129
  51197.7676      -83.20808      19.12371
  52963.1990     -110.50701      19.12661
  54728.6477      -69.14139      19.12414
  56494.0877       98.94371      19.12596
  58259.5365      109.67255      19.12753
  60024.9680        1.66893      19.12375
  61790.4081      116.34827      19.12857
  63555.8569      -47.86253      19.12709
  65321.2885     -132.91837      19.12360
  67086.7287     -178.75433      19.12379
  68852.1776      -52.92892      19.12456
  70617.6092     -174.82042      19.12331
  72383.0495       47.44530      19.12630
  74148.4985      398.27823      19.12800
  75913.9302      410.79523      19.12803
  77679.3792       26.82209      19.12005
  79444.8196      -27.06051      19.12695
  81210.2600      420.33197      19.13076
  82975.7004      546.09778      19.13173
  84741.1409      379.68158      19.13017
  86506.5814      260.94913      19.12729
  88272.0219      573.15826      19.13229
  90037.4625      803.47058      19.13103
  91802.9030      716.44781      19.13458
  93568.3436      396.60931      19.12963
  97099.2248      543.71356      19.12999
  98864.6655      391.12567      19.13254
 100630.1062       12.04014      19.12702
 102395.5555       89.28776      19.12864
 104160.9876      342.72672      19.12790
 105926.4284      299.93057      19.13011
 107691.8778       61.03516      19.12118
 109457.3100     -129.10367      19.12146
 111222.7594      136.37543      19.12714
 112988.2003      260.82993      19.12623
 114753.6325     -115.39459      19.12202
 116519.0821     -402.86780      19.12434
 118284.5230       44.46507      19.12733
 120049.9553       78.20129      19.12392
 121815.4049     -120.81862      19.12534
 123580.8459     -328.30237      19.12252
 125346.2956     -123.97766      19.12156
 127111.7280      223.75583      19.12787
 128877.1691      182.39021      19.12661
 130642.6188      226.49765      19.12852
 132408.0513       71.88320      19.12235
 134173.4924      197.88742      19.12829
 135938.9423       47.32609      19.12492
 137704.3835     -333.01114      19.12763
 139469.8160     -530.42175      19.12162
 141235.2573     -402.09293      19.12430
 143000.7072      -97.87083      19.12676
 144766.1485       96.08269      19.12891
 146531.5898      -78.08208      19.12844
 148297.0225       42.91534      19.12338
 150062.4725      113.12962      19.12515
 151827.9139      177.62184      19.12916
