#   Time (s)     Flux (ppm)    Error (ppm)
 319546.5983      -45.47834      51.11989
 321312.0420     -332.29590      51.11926
 323077.5031      -85.17503      51.12227
 324842.9556      224.94794      51.13153
 326608.3994      -16.27207      51.12724
 328373.8605      -68.60495      51.11782
 330139.3131        6.55651      51.12791
 331904.7742      102.04315      51.13198
 333670.2182      664.11493      51.15430
 335435.6708      676.03589      51.14000
 337201.1320     -291.28790      51.11912
 338966.5760      -40.29274      51.11852
 340732.0287       29.56390      51.12454
 342497.4900       60.08148      51.13443
 344262.9341      -52.21367      51.12753
 346028.3868       92.38720      51.13090
 347793.8482      -66.81680      51.12693
 349559.3009     -312.92438      51.10652
 351324.7537     -351.30978      51.11997
 354855.6594     -459.96906      51.12674
 356621.1209     -468.90973      51.10693
 358386.5651     -164.38962      51.12008
 360152.0181     -269.88983      51.12098
 361917.4710     -301.53989      51.12890
 363682.9240     -138.40198      51.12969
 365448.3856     -362.81348      51.12857
 367213.8299     -313.16281      51.12108
 368979.2830      -28.07379      51.12480
 370744.7446       95.84427      51.13983
 372510.1891      -92.80443      51.13202
 374275.6422       -5.66244      51.13189
 376041.1039      208.02020      51.14258
 377806.5484      -59.30662      51.12674
 379572.0016      -18.89467      51.13452
 381337.4634      281.33392      51.13898
 383102.9080      179.88681      51.14532
 384868.3698      241.51802      51.13146
 386633.8231      524.40167      51.14387
 388399.2764      805.25873      51.15944
 390164.7297      275.49268      51.14592
 391930.1830     -173.98596      51.13744
 393695.6363     -166.71419      51.13566
 395461.0897     -307.20233      51.13231
 397226.5431     -310.42099      51.13881
 398992.0051      -45.77637      51.13186
 400757.4586      304.46051      51.14986
 402522.9034      -85.53267      51.14223
 404288.3655     -285.14862      51.13009
 406053.8190     -146.15059      51.13529
 407819.2639     -125.64659      51.13166
 409584.7261      -26.10683      51.14302
 411350.1797      107.64599      51.14688
 413115.6246      263.69095      51.14330
 414881.0869      -83.62532      51.13853
 416646.5405      -52.45209      51.13534
 418411.9942      390.76807      51.14439
 420177.4479      283.24127      51.14560
 421942.9016      -54.12102      51.13366
 423708.3553     -151.99185      51.13289
 425473.8091     -115.03696      51.14285
 427239.2542     -159.20401      51.13703
 429004.7166     -469.02896      51.13433
 430770.1705       82.96967      51.14558
 432535.6329      457.76367      51.15044
 434301.0782      300.64581      51.14813
 436066.5321       22.53056      51.13683
 437831.9946      191.09250      51.14113
 439597.4399      267.86328      51.15475
 441362.8939       -8.04663      51.14421
 443128.3565      205.99365      51.14520
 444893.8019      199.91397      51.13768
 446659.2559     -215.35158      51.13363
 448424.7186     -521.48102      51.12167
 450190.1727     -365.61490      51.13552
 451955.6268     -181.55576      51.14050
 453721.0809     -242.23328      51.13689
 455486.5350     -314.29529      51.13101
 457251.9892     -261.06836      51.14024
 459017.4434     -609.39789      51.13818
 460782.8976     -779.21155      51.12335
 462548.3605     -266.90961      51.14142
 464313.8061     -260.82993      51.14080
 466079.2690     -340.40213      51.13654
 467844.7233     -183.04587      51.13720
 469610.1690     -481.66513      51.13238
 471375.6320     -622.57050      51.12267
 473141.0777       19.90795      51.14885
 474906.5321      162.36305      51.14475
 476671.9952      198.36426      51.14593
 478437.4496      351.42899      51.15012
 480202.8954      190.25803      51.15490
 481968.3586      224.94794      51.15755
 483733.8044      -51.20039      51.14676
 485499.2676     -195.68205      51.14102
 487264.7221      -51.02158      51.15559
 489030.1681       92.50641      51.15465
 490795.6313       68.54534      51.14996
 492561.0860       89.04934      51.14883
 494326.5406      260.94913      51.14555
 496091.9953      403.88107      51.16101
 497857.4500      217.79538      51.15172
 499622.9133      125.16975      51.14269
 501388.3594       56.74362      51.15136
 503153.8142     -223.45781      51.14441
 504919.2776      -43.80941      51.14346
 506684.7324       60.67753      51.14372
 508450.1786     -150.02489      51.13894
 510215.6421     -433.62378      51.13482
 511981.0970     -207.42416      51.14351
 513746.5432     -189.48317      51.14019
 515512.0068     -175.35687      51.14117
 517277.4617      -68.72415      51.14852
 519042.9253      176.54895      51.14928
 520808.3717      174.04556      51.15201
 522573.8267      237.34570      51.14633
 524339.2904      111.34148      51.14314
 526104.7368      -98.58608      51.14600
 527870.1919     -192.82103      51.14907
 529635.6470      -28.07379      51.14520
 531401.1021      229.47787      51.15326
 533166.5659      121.71268      51.15244
 534932.0124      247.95532      51.15343
 536697.4676      607.72894      51.15897
 538462.9315      339.50806      51.15189
 540228.3781     -135.06412      51.13909
 541993.8334      -57.51848      51.14931
 543759.2973      206.47049      51.14692
 545524.7439     -163.61475      51.13874
 547290.1993     -293.79129      51.14452
 549055.6633     -217.37814      51.14317
 550821.1187      106.81152      51.15637
 552586.5741     -146.03137      51.14611
 554352.0295     -197.58940      51.14349
 556117.4849      217.79538      51.15072
 557882.9404       30.15995      51.14739
 559648.3959     -137.15028      51.14437
 561413.8514      -42.14048      51.14536
 563179.3156       39.10065      51.15287
 564944.7625     -255.40590      51.14197
 566710.2267     -440.95517      51.13090
 568475.6823     -462.41284      51.13463
 570241.1293     -503.54004      51.13760
 572006.5936     -267.68445      51.14529
 573772.0493      -24.79553      51.15433
 575537.4964      -55.55153      51.15314
 577302.9607       -6.61612      51.15180
 579068.4165      299.69214      51.16603
 580833.8636      329.37527      51.17155
 582599.3280      133.75282      51.14854
 584364.7839     -299.33453      51.14640
 586130.2397       33.73623      51.15138
 587895.6955      351.78662      51.16304
 589661.1514      142.69351      51.16307
 591426.6073     -100.91066      51.14909
 593192.0633      -75.45948      51.15004
 594957.5192     -285.62546      51.14297
 596722.9752     -266.37317      51.14367
 598488.4312       88.69171      51.15273
 600253.8958      -82.43323      51.14522
 602019.3432     -492.39398      51.13790
 603784.7993     -218.80865      51.15023
 605550.2640     -326.09702      51.14638
 607315.7115     -467.12161      51.14016
 609081.1677     -219.34509      51.14520
 612612.0886       80.22785      51.15351
 614377.5362       93.93692      51.14738
 616143.0011      330.09052      51.15955
 617908.4573      495.19537      51.16693
 619673.9136      562.66785      51.16932
 621439.3699      326.27582      51.15738
 623204.8262      359.05838      51.15956
 624970.2912      404.71555      51.16027
 626735.7389       86.06911      51.15972
 628501.1953      -83.20808      51.14524
 630266.6603      192.88063      51.16332
 632032.1081      343.20355      51.15570
 633797.5732      -61.63120      51.14310
 635563.0297     -284.85059      51.14152
 637328.4776      -69.79704      51.14671
 639093.9427      290.03619      51.16156
 640859.3907      255.70392      51.14098
 642624.8472       19.19270      51.15141
 644390.3125      126.95789      51.15093
 646155.7604      190.61566      51.15786
 647921.2171       66.39957      51.14957
 649686.6824      343.08435      51.15753
 651452.1304      394.22513      51.15691
 653217.5958       87.61883      51.15198
 654983.0525       96.55952      51.14830
 656748.5092      166.41617      51.15848
 658513.9660       52.57130      51.15546
 660279.4228      223.51743      51.15054
 662044.8796      514.98413      51.16780
 663810.3365      202.65579      51.15093
 665575.7934      177.38342      51.15635
 667341.2589      484.46655      51.17313
 669106.7158      472.54562      51.17297
 670872.1641      182.39021      51.15541
 672637.6297      402.68896      51.16381
 674403.0867      259.99545      51.15857
 676168.5349     -157.83310      51.15347
 677934.0005      -73.01569      51.14959
 679699.4576       42.91534      51.15251
 681464.9060       -3.21865      51.14465
 683230.3718      -19.55032      51.15214
 684995.8289      -50.42553      51.15306
 686761.2947      239.25305      51.15004
 688526.7432      141.14380      51.15895
 690292.2004       11.68251      51.15100
 692057.6662      426.05402      51.17397
 693823.1148      244.25983      51.16521
 695588.5721       -7.74860      51.14685
 697354.0294      376.93976      51.16941
 699119.4867      596.88092      51.17719
 700884.9526        9.05991      51.15540
 702650.4014      108.59966      51.16442
 704415.8587      471.71115      51.16683
 706181.3248      152.70709      51.16270
 707946.7735       60.91595      51.16631
 709712.2310      -49.47186      51.16162
 711477.6971     -132.85875      51.14601
 713243.1546     -113.07001      51.15053
 715008.6121     -145.43533      51.16193
 716774.0696      327.94476      51.17619
 718539.5272     -135.06412      51.15148
 720304.9848     -576.19812      51.12985
 722070.4424     -288.60568      51.14037
 723835.9000     -246.76323      51.15224
 725601.3663     -314.05688      51.14248
 727366.8153     -359.95245      51.13063
 729132.2730     -355.18408      51.14231
 730897.7394     -298.20203      51.12874
 732663.1885     -129.34207      51.14928
 734428.6549      236.27281      51.15266
 736194.1127      177.26422      51.15172
 737959.5618      218.51062      51.15865
 739725.0283      210.52361      51.16232
 741490.4862      170.70770      51.15033
 743255.9354      289.67859      51.16675
 745021.4019      249.74347      51.14254
 746786.8599      285.38702      51.16353
 748552.3265      524.52087      51.15656
 750317.7758      324.13007      51.15995
 752083.2338      448.70377      51.16835
 753848.6918      658.03528      51.15605
 755614.1498      155.21049      51.15555
 757379.6079       49.71027      51.14375
 759145.0660     -101.56631      51.14684
 760910.5241     -168.80035      51.15170
 762675.9822      -44.10744      51.14683
 764441.4404        7.86781      51.14333
 766206.8985       11.56330      51.14688
 767972.3654     -136.07741      51.14888
 769737.8236     -209.86795      51.14206
 771503.2732     -159.85965      51.13905
 773268.7401       -0.35763      51.15239
 775034.1984     -133.51440      51.15551
 776799.6481     -369.60840      51.14980
 778565.1151      104.78497      51.14529
 780330.5734      170.46928      51.14545
 782096.0318      146.03137      51.15207
 783861.4902      169.03877      51.15842
 785626.9487       87.02278      51.14517
 787392.4157      150.79974      51.14697
 789157.8656      -10.49042      51.15532
 790923.3241       22.29214      51.15174
 792688.7913      269.53220      51.16091
 794454.2412      205.63602      51.14824
 796219.6997      -67.23404      51.14108
 797985.1670     -196.33771      51.15213
 799750.6169     -211.41768      51.14224
 801516.0842     -150.97856      51.15509
 803281.5429      -73.90976      51.14365
 805046.9929      -89.16855      51.14589
 806812.4602     -346.36258      51.14851
 813874.2867       92.98325      51.14520
 815639.7541      246.04797      51.15682
 817405.2130      125.40817      51.15391
 819170.6718      114.44092      51.15476
 820936.1307      212.31174      51.15602
 822701.5896       53.52497      51.14743
 824467.0486       98.82450      51.14083
 826232.5162      185.96649      51.14936
 827997.9665      137.68674      51.14955
 829763.4341      118.97087      51.14566
 831528.8932     -119.32850      51.14002
 835059.8113     -156.76022      51.14349
 836825.2704      -46.90886      51.14340
 838590.7209       -9.41753      51.14560
 840356.1887      185.37045      51.13191
 842121.6478      293.01642      51.14606
 843887.0984      203.84789      51.14904
 845652.5662      180.12524      51.14133
 847418.0254       82.61204      51.14792
 849183.4933     -115.15617      51.14609
 850948.9440     -439.40546      51.14178
 852714.4033      -67.47246      51.14655
 854479.8713     -236.03439      51.13115
 856245.3220     -371.69458      51.13233
 865072.6191     -245.98837      51.14831
 868603.5467      168.56194      51.14183
 870368.9976       90.47985      51.15427
 872134.4571       17.64297      51.14307
 873899.9254      -57.16085      51.14390
 875665.3850      -97.09596      51.14059
 877430.8359     -172.43623      51.13793
 880961.7639     -202.53659      51.14172
 882727.2236     -642.71686      51.13427
 884492.6833     -554.74042      51.12481
 886258.1430     -150.56134      51.14334
 889789.0626      240.08751      51.15134
 891554.5224      251.88922      51.14979
 893319.9909      292.42038      51.15302
 895085.4421      549.31641      51.16564
 896850.9106      244.61746      51.15913
 898616.3705       36.23962      51.14742
 900381.8218      269.17456      51.16282
 902147.2904      428.91504      51.16596
 903912.7503      -13.17263      51.15005
 905678.2017     -167.78708      51.15826
 907443.6703      186.92017      51.16555
 909209.1304      -47.02806      51.15357
 910974.5991     -449.00180      51.14000
 912740.0505     -361.62137      51.13114
 914505.5106     -399.52994      51.13124
 916270.9794     -358.16431      51.13436
 918036.4309     -327.64673      51.13932
 919801.8911      109.31492      51.15390
 921567.3513      205.03998      51.15324
 923332.8115       19.66953      51.14914
 925098.2718     -143.22997      51.15060
 926863.7320     -134.82571      51.14084
 928629.1923       27.53735      51.14373
 930394.6613      174.76082      51.16948
 932160.1216       -5.30481      51.14456
 933925.5733     -254.33302      51.14435
 935691.0423      -21.81530      51.15540
 937456.5027       69.26060      51.14731
 939221.9545      -40.29274      51.13868
 940987.4236      138.99803      51.15384
 942752.8841      -15.25879      51.14671
 944518.3532      -53.52497      51.14641
 946283.8051      -41.48483      51.13671
 948049.2657      198.60268      51.13860
 949814.7349      162.95911      51.14910
 951580.1868      326.15662      51.15963
 953345.6474      358.58154      51.15047
 955111.1167      -83.08887      51.14187
 956876.5687       58.05492      51.14706
 958642.0294      183.82072      51.14496
 960407.4988      166.29697      51.14774
 962172.9508     -148.23676      51.14423
 963938.4202      136.73306      51.15014
 965703.8810       11.92093      51.14146
 967469.3332     -431.65683      51.13041
 969234.8026     -614.82190      51.12543
 971000.2635     -882.32758      51.13300
 972765.7243     -423.66980      51.12413
 974531.1852      -75.57869      51.14206
 976296.6461     -125.52738      51.13817
 978062.1071      -23.12660      51.14326
 979827.5680       63.30013      51.15082
 981593.0290      181.79416      51.15183
 983358.4900      296.35431      51.15352
 985123.9510      269.88983      51.15354
 986889.4121      100.25501      51.14317
 988654.8818      132.91837      51.16253
 990420.3342       17.64297      51.15283
 992185.7953     -169.27719      51.14546
 993951.2651     -335.03772      51.15010
 995716.7176       22.41135      51.14640
 997482.1875      -19.78874      51.15392
 999247.6487     -359.53522      51.13583
1001013.1013      112.53357      51.15521
1002778.5712       -8.64267      51.14227
1004544.0325     -169.81363      51.15546
1006309.4851     -145.25652      51.14639
1008074.9551      179.05235      51.15359
1009840.4164      157.47546      51.14690
1011605.8864      -96.91715      51.16034
1013371.3392      -59.06820      51.14724
1015136.8006     -168.91956      51.15085
1016902.2707     -120.46098      51.14476
