#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000      -59.00860      55.92217
   1765.4483     -169.09837      55.93338
   3530.8794      -55.25351      55.96125
   5296.3278      -84.51939      55.95177
   7061.7675       23.24581      55.96970
   8827.1986        0.35763      55.97826
  10592.6471      224.23267      55.97179
  12358.0869       54.83627      55.96234
  14123.5181      150.08450      55.97887
  15888.9666      -81.36034      55.97488
  17654.4065     -140.90538      55.98764
  19419.8378     -194.01312      55.98646
  21185.2864     -283.71811      55.97457
  22950.7263     -352.20386      55.99336
  24716.1749     -163.07831      55.98698
  26481.6063      -48.04134      55.99102
  28247.0463      -25.63000      55.97725
  30012.4864       32.30572      55.99818
  31777.9265       -1.84774      56.00438
  33543.3666      -25.63000      55.99750
  35308.8067       11.80172      55.99341
  37074.2468       33.97465      55.99034
  38839.6956       48.51818      56.01008
  40605.1358      102.99683      56.00062
  42370.5674      120.28217      56.02327
  44136.0162       23.96107      56.00987
  45901.4565     -235.97479      56.00094
  47666.8881     -454.12778      56.00511
  49432.3371     -473.26086      56.00544
  51197.7774     -283.42007      56.00709
  52963.2091     -117.24234      55.99467
  54728.6581     -152.11105      55.99102
  56494.0985      -90.65866      56.01328
  58259.5476      -63.83657      56.00044
  60024.9794     -116.82510      56.01246
  61790.4199     -309.76535      56.00687
  63555.8690     -131.54745      55.99042
  65321.3008     -330.38855      55.99210
  67086.7414     -283.77771      56.00514
  68852.1906     -288.54608      55.99377
  70617.6225     -252.42567      56.01231
  72383.0631      224.35188      55.99644
  74148.5124      202.65579      56.00974
  75913.9444     -183.46310      56.01004
  77679.3937      -68.54534      56.00713
  79444.8344     -124.03726      56.00254
  81210.2751     -162.54187      56.00675
  82975.7158       -2.20537      56.01487
  84741.1566     -214.33830      56.01405
  86506.5974       32.42493      56.02351
  88272.0382       21.69609      56.01775
  90037.4790     -330.98459      56.01123
  91802.9199       64.37302      56.00969
  93568.3608      443.81619      56.03828
  97099.2426      -59.96227      56.00683
  98864.6835      137.56752      56.01040
 100630.1245      101.80473      56.01805
 102395.5741       61.27357      56.02722
 104161.0065     -210.34479      56.01210
 105926.4475      -91.61234      56.01188
 107691.8972      -69.14139      56.01583
 109457.3297     -122.36833      56.01471
 111222.7794     -112.17594      56.01261
 112988.2205        4.17233      56.00049
 114753.6531      -36.47804      56.01535
 116519.1029     -124.99094      56.00264
 118284.5441       32.06730      55.99423
 120049.9767      -50.78316      55.99992
 121815.4265      124.69292      56.02919
 123580.8678      202.29816      56.01441
 125346.3177       53.64418      56.01452
 127111.7504       65.20748      56.01583
 128877.1917      107.16915      56.01453
 130642.6418      111.81831      56.01015
 132408.0745      139.23645      56.02215
 134173.5159      465.86990      56.04332
 135938.9660      492.57278      56.03947
 137704.4074      232.93495      56.02554
 139469.8403      222.32532      56.02408
 141235.2818      201.10608      56.02907
 143000.7319      144.12402      56.01702
 144766.1735      155.21049      56.02517
 146531.6150      131.84547      56.01204
 148297.0480     -122.84517      56.02887
 150062.4982     -161.40938      56.01079
 151827.9399       99.77818      56.01207
 153593.3729      -27.47774      56.01228
 155358.8232      -90.71827      55.99335
 157124.2649     -111.52029      55.99947
 158889.6980     -177.80066      56.00862
 160655.1484       60.67753      56.02431
 162420.5902      140.07092      56.01265
 164186.0406       93.69850      56.01271
 165951.4738      -66.04195      55.99464
 167716.9156      -36.71646      56.00726
 169482.3661       26.70288      56.01437
 171247.7994      -14.72235      56.00694
 173013.2413      -60.55832      56.00116
 174778.6919      -52.57130      56.00853
 176544.1252       69.85664      56.02090
 178309.5758      176.31055      56.01670
 180075.0178      114.56013      56.00818
 181840.4512      -45.77637      56.01033
 183605.9019     -152.82631      55.99501
 185371.3440     -133.93164      56.01957
 187136.7861     -421.04721      56.00719
 188902.2282     -236.03439      56.00019
 190667.6704       43.15376      56.01954
 192433.1125       75.81711      56.01101
 194198.5547       61.63120      56.01334
 195963.9969      128.03078      56.01521
 197729.4392      -55.43232      56.01163
 199494.8814       74.98264      56.01385
 201260.3237     -249.08781      56.00731
 203025.7747     -284.49298      56.00463
 204791.2084     -208.67586      56.00524
 206556.6507     -150.26331      56.00672
 208322.1017     -393.15222      55.99142
 210087.5355     -467.30042      56.00163
 211852.9865     -365.19766      55.99423
 213618.4290     -261.90280      55.98802
 215383.8628      134.11044      55.99958
 217149.3140     -112.95081      56.00566
 218914.7565     -260.59149      56.00456
 220680.1904       96.20190      56.00740
 222445.6416      170.35007      56.00469
 224211.0842     -118.79205      56.01611
 225976.5181     -237.70332      56.01087
 227741.9694      179.40997      56.01604
 229507.4121     -109.19571      56.00280
 231272.8634       96.08269      56.00829
 233038.2974      210.28519      56.00247
 234803.7402      210.04677      56.01135
 236569.1916      240.08751      56.00962
 238334.6257       18.71586      56.01308
 240100.0685       36.71646      56.00209
 241865.5199       76.53236      55.99919
 243630.9628      124.57371      56.00314
 245396.4056     -222.20612      56.00029
 247161.8485     -172.67465      56.00822
 248927.2914      -33.43821      55.99240
 250692.7344     -152.17065      55.99395
 252458.1773     -375.50928      55.99870
 254223.6203     -269.83023      56.00834
 255989.0633      167.84668      56.02567
 257754.5063       46.96846      56.00569
 259519.9407      -51.14079      56.00705
 261285.3925      -75.51909      56.00558
 263050.8356      -25.51079      55.99216
 264816.2873       87.61883      56.00572
 266581.7218       -4.70877      55.98652
 268347.1650      -13.11302      56.00824
 270112.6168      199.43713      56.02349
 271878.0514      233.05417      56.01587
 273643.4946       58.77018      56.00599
 275408.9465        3.09944      56.00280
 277174.3812      389.81439      56.01193
 278939.8245      481.48633      56.01669
 280705.2764       42.20009      56.01780
 282470.7111      133.03757      56.00974
 284236.1632       73.90976      56.00711
 286001.6066      -60.49871      56.00244
 287767.0500        9.05991      56.00735
 289532.4934      332.35550      56.01109
 291297.9369      145.55453      55.99989
 293063.3804     -335.27612      55.98067
 294828.8239      -50.12751      56.01000
 296594.2674      -45.71676      56.00922
 298359.7196     -158.60796      56.00383
 300125.1632      -24.55711      56.00119
 301890.5982       -6.31809      56.00890
 303656.0505     -282.70483      55.99948
 305421.4941      -33.61702      56.00102
 307186.9291      -13.64946      56.01226
 308952.3815       19.43111      56.00945
 310717.8252      228.76263      56.01862
 312483.2603      150.91896      56.00851
 314248.7127      119.80534      56.01051
 316014.1479       69.02218      56.01661
 317779.6003      168.80035      56.00962
 319545.0442      262.14124      56.00740
 321310.4794      386.83414      56.01590
 323075.9319      315.54700      56.01091
 324841.3758        5.12600      56.00719
 326606.8111       79.03576      56.01141
 328372.2637      156.16417      56.02212
 330137.7077       39.10065      56.01059
 331903.1604      174.88004      56.02398
 333668.5958      298.02322      56.02516
 335434.0398      171.54218      56.00813
 337199.4925       31.70967      56.00789
 338964.9280     -223.99426      55.99977
 340730.3721      -35.40516      56.01124
 342495.8249     -111.52029      56.01033
 344261.2604     -208.73547      56.01320
 346026.7046     -340.16370      56.01054
 347792.1574     -338.19675      55.99933
 349557.6017     -364.89963      56.01637
 351323.0459     -265.59830      55.99153
 354853.9345      -41.72325      56.00863
 356619.3875       -7.15256      56.01640
 358384.8232       36.23962      56.01921
 360150.2676      148.89240      56.01810
 361915.7120      -65.56511      56.00948
 363681.1564       93.81771      56.02285
 365446.6095      232.33890      56.01640
 367212.0453       93.81771      56.02113
 368977.4898      143.05115      56.01330
 370742.9430      149.84607      56.02394
 372508.3789      -59.66425      56.02312
 374273.8235     -351.30978      56.02212
 376039.2767     -173.98596      55.99992
