#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000      -76.29395      57.33937
   1765.4236      234.12704      57.36628
   3530.8299      553.60791      57.39786
   5296.2535      510.93103      57.39286
   7061.6685       69.97585      57.38911
   8827.0748       70.92953      57.39859
  10592.4985      112.53357      57.39398
  12357.9136      155.32971      57.41047
  14123.3200      155.44891      57.40370
  15888.7438      155.32971      57.40250
  17654.1590      168.80035      57.40622
  19419.5655      134.34888      57.41156
  21184.9893        1.19209      57.41029
  22950.4046      164.86646      57.43553
  24715.8285      403.28503      57.42595
  26481.2351      355.12448      57.42790
  28246.6504        8.22544      57.42298
  30012.0657     -218.62984      57.43203
  31777.4811      -61.81002      57.42634
  33542.8965      274.53900      57.45766
  35308.3119      213.02701      57.44481
  37073.7273       34.45148      57.45251
  38839.1514      -86.12871      57.44612
  40604.5669       -8.16584      57.43645
  42369.9738       93.57929      57.44167
  44135.3980      168.20432      57.45237
  45900.8135     -101.08948      57.44728
  47666.2205       11.32488      57.44795
  49431.6447      337.12387      57.46486
  51197.0604      392.43698      57.47206
  52962.4674       56.86283      57.46314
  54727.8917     -132.08389      57.46161
  56493.3075       67.59167      57.46421
  58258.7319      226.49765      57.46773
  60024.1390      175.59528      57.46136
  61789.5548       42.31930      57.46822
  63554.9793      322.34192      57.46880
  65320.3865      455.49869      57.47476
  67085.8024      239.61067      57.46420
  68851.2269      154.49524      57.46889
  70616.6342      302.79160      57.47217
  72382.0502      418.54382      57.47328
  74147.4748     -100.91066      57.46260
  75912.8821     -203.60947      57.47164
  77678.3068     -158.36954      57.46815
  79443.7229      -45.65716      57.47421
  81209.1390      130.77258      57.47385
  82974.5551       20.38479      57.47513
  84739.9712      324.60690      57.48453
  86505.3874      437.49811      57.49059
  88270.8036      590.92047      57.48743
  90036.2198      302.19556      57.47733
  91801.6361     -191.62894      57.46408
  93567.0523      -68.54534      57.47998
  97097.8850     -179.82721      57.48360
  98863.3013     -273.70453      57.48333
 100628.7177      -31.23283      57.47947
 102394.1427     -313.52045      57.48251
 104159.5505     -485.00299      57.47470
 105924.9670     -464.08176      57.47874
 107690.3921     -365.55530      57.47926
 109455.8000     -396.54971      57.47490
 111221.2252     -476.41992      57.48051
 112986.6417     -208.73547      57.48027
 114752.0497      -17.16614      57.48067
 116517.4749     -450.84955      57.48549
 118282.8916     -460.26706      57.47126
 120048.2996     -170.70770      57.48021
 121813.7249      117.89799      57.48851
 123579.1417      -90.00301      57.47538
 125344.5670     -446.08118      57.47275
 127109.9752     -258.98218      57.48307
 128875.3920      114.20250      57.48929
 130640.8174      128.50761      57.49626
 132406.2257     -103.83129      57.48640
 134171.6425      -92.38720      57.48815
 135937.0681      -47.50490      57.48920
 137702.4850      -88.33408      57.48734
 139467.8933     -325.91821      57.48275
 141233.3103     -261.78360      57.47762
 142998.7360     -141.14380      57.48192
 144764.1530     -124.57371      57.48557
 146529.5701     -182.44981      57.49006
 148294.9785     -235.14032      57.47908
 150060.4043     -181.91338      57.48653
 151825.8214     -142.27629      57.49370
 153591.2299        5.60284      57.49079
 155356.6558      -28.84865      57.49694
 157122.0730     -199.43713      57.48480
 158887.4816     -332.35550      57.49151
