#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000      184.41678      34.29180
   1765.4197      147.70032      34.32287
   3530.8221      -53.16734      34.32385
   5296.2418      -19.96756      34.32619
   7061.6529       10.96725      34.32209
   8827.0554       15.73563      34.33034
  10592.4752       77.84367      34.33364
  12357.8864     -325.38174      34.33303
  14123.2890     -431.59723      34.32907
  15888.7088     -328.06396      34.33104
  17654.1201     -320.67297      34.33389
  19419.5227     -303.32803      34.33079
  21184.9426     -187.87384      34.33508
  22950.3540       53.40576      34.35107
  24715.7739       38.14697      34.34608
  26481.1767       28.37181      34.34931
  28246.5880     -187.81424      34.35089
  30011.9995     -283.36047      34.34737
  31777.4109     -252.06804      34.35202
  33542.8223     -400.24518      34.35353
  35308.2338     -463.78375      34.34814
  37073.6453     -295.40063      34.35246
  38839.0655     -132.73955      34.35502
  40604.4771      -25.03395      34.35745
  42369.8800     -247.12085      34.35979
  44135.3002       32.18651      34.36337
  45900.7118      406.74210      34.36547
  47666.1149      184.77440      34.36481
  49431.5352     -266.37317      34.35557
  51196.9469     -426.82886      34.35788
  52962.3499     -294.38733      34.36018
  54727.7703     -400.72202      34.36052
  56493.1821     -780.46320      34.35173
  58258.6025     -682.89044      34.35418
  60024.0057     -186.32413      34.36058
  61789.4175     -652.19403      34.35110
  63554.8380     -779.74799      34.35577
  65320.2412     -619.35187      34.35415
  67085.6531     -496.20868      34.35777
  68851.0737     -640.51154      34.35742
  70616.4770     -835.71674      34.35413
  72381.8890     -712.39471      34.35529
  74147.3096     -121.95110      34.36272
  75912.7130      162.83989      34.36625
  77678.1337      -11.80172      34.36957
  79443.5458      -34.68990      34.36421
  81208.9579      214.33830      34.37128
  82974.3700      358.81995      34.37428
  84739.7821      239.61067      34.36937
  86505.1943     -122.42794      34.36613
  88270.6065      -11.80172      34.36626
  90036.0187       91.67194      34.36903
  91801.4309       14.18591      34.36250
  93566.8432     -200.56963      34.36458
  97097.6677       82.61204      34.36892
  98863.0801      255.70392      34.36989
 100628.4924      103.23524      34.36951
 102393.9134     -224.70950      34.36388
 104159.3172     -318.46762      34.36175
 105924.7296     -154.07800      34.37074
 107690.1507       69.61823      34.37089
 109455.5545       76.41315      34.36824
 111220.9757     -143.82600      34.36633
 112986.3882      -75.16145      34.37351
 114751.7921       88.81092      34.36797
 116517.2133      105.38101      34.37179
 118282.6259     -302.19556      34.36427
 120048.0298     -287.77124      34.36425
 121813.4511      220.77560      34.37365
 123578.8638       40.41195      34.37061
 125344.2851       40.17353      34.36960
 127109.6892     -106.75192      34.36541
 128875.1019     -324.90491      34.35331
 130640.5233     -157.35626      34.36857
 132405.9274     -222.50414      34.36100
 134171.3402     -690.16217      34.35467
 135936.7617     -728.42834      34.36053
 137702.1746     -414.07346      34.36279
 139467.5788     -107.16915      34.36428
 141232.9917     -401.91412      34.36198
 142998.4132     -316.67947      34.35978
 144763.8262     -184.23796      34.36610
 146529.2392      -20.44439      34.36861
 148294.6435      -38.62381      34.36637
 150060.0652     -279.60538      34.36289
 151825.4782     -531.61383      34.36287
 153590.8826     -104.84457      34.36515
 155356.3044      129.46129      34.36624
 157121.7175      -14.78195      34.36835
 158887.1220     -177.14500      34.36310
 160652.5438       -6.43730      34.36805
 162417.9569      350.95215      34.37395
 164183.3788      423.66980      34.37540
 165948.7834      322.93796      34.37133
 167714.1966       -7.62939      34.36732
 169479.6186      128.98445      34.37123
 171245.0232      371.33694      34.37390
 173010.4365      192.40379      34.36571
 174775.8585       38.86223      34.36737
 176541.2633       66.63799      34.37312
 178306.6853       56.62441      34.37210
 180072.0987      293.25485      34.37041
 181837.5035      232.93495      34.37515
 183602.9256     -113.48724      34.36567
 185368.3391      -72.83688      34.36517
 187133.7526      199.07951      34.37065
 188899.1662      299.81137      34.37032
 190664.5798      -54.71706      34.36504
 192429.9933     -283.83731      34.36728
 194195.4070      100.85106      34.37648
 195960.8206      364.89963      34.37574
 197726.2343       48.87581      34.36661
 199491.6479     -185.66847      34.37017
 201257.0616      -80.40666      34.37037
 203022.4840      -42.49811      34.36727
 204787.8891        0.59605      34.37037
 206553.3029      -40.35234      34.36967
 208318.7254      -91.43353      34.36995
 210084.1306       77.72446      34.37180
 211849.5530      358.58154      34.37473
 213614.9669      371.69458      34.37178
 215380.3722      388.26465      34.37030
 217145.7947      505.80502      34.37688
 218911.2087      398.27823      34.37524
 220676.6140       57.33967      34.36965
 222442.0367     -113.78526      34.36501
 224207.4507       94.65218      34.37420
 225972.8561      445.60431      34.37377
 227738.2788      435.47153      34.37668
 229503.6929      127.31552      34.37159
 231269.1157       14.18591      34.36106
 233034.5212      267.14801      34.37608
 234799.9353      654.81665      34.37926
 236565.3582      756.97900      34.38102
 238330.7637      384.09235      34.37370
 240096.1780      305.29498      34.37675
 241861.6009      329.49448      34.37621
 243627.0152       -9.47714      34.36801
 245392.4295        5.00679      34.37335
 247157.8438      291.10907      34.37410
 248923.2582      137.09068      34.36826
 250688.6725       83.56571      34.37231
 252454.0870     -174.16476      34.36577
 254219.5014      -15.37800      34.36983
 255984.9158        1.78814      34.37125
 257750.3303     -169.87323      34.36642
 259515.7362     -280.02261      34.36473
 261281.1594      -61.33318      34.36596
 263046.5739       38.14697      34.37307
 264811.9971     -407.69577      34.36191
 266577.4031     -813.36499      34.35247
 268342.8177     -424.44467      34.36619
 270108.2410     -143.76640      34.36785
 271873.6470      -46.25320      34.37044
 273639.0617     -297.90402      34.36591
 275404.4851     -325.20294      34.35846
 277169.8912     -224.76912      34.36937
 278935.3060     -471.71115      34.36276
 280700.7294     -312.14954      34.36538
 282466.1356      -31.53086      34.37491
 284231.5591      306.96393      34.36922
 285996.9739      680.32739      34.37897
 287762.3888      510.93103      34.37719
 289527.8038      425.45795      34.37560
 291293.2187      287.65201      34.37257
 293058.6337        1.19209      34.37324
 294824.0486     -151.63422      34.36973
 296589.4637       20.86163      34.37175
 298354.8873      233.65021      34.37597
 300120.3024      448.70377      34.38094
 301885.7089       39.33907      34.36930
 303651.1326     -437.97491      34.36239
 305416.5477     -428.02097      34.36300
 307181.9543     -129.52089      34.37534
 308947.3781     -384.80759      34.37154
 310712.7933     -743.21033      34.35979
 312478.1999     -631.27277      34.36152
 314243.6238     -275.07544      34.36330
 316009.0304       86.18832      34.37403
 317774.4544     -214.45752      34.37054
 319539.8697     -496.80472      34.37062
 321305.2764     -617.56372      34.36496
 323070.7004     -200.68884      34.37313
 324836.1158       44.82269      34.38132
 326601.5226      235.43835      34.37655
 328366.9467      244.49826      34.37657
 330132.3622      144.60086      34.37633
 331897.7863     -124.87173      34.37631
 333663.1932     -233.76941      34.37384
 335428.6088     -202.17896      34.37336
 337194.0330     -124.51410      34.37605
 338959.4400      -25.27237      34.37678
 340724.8556      232.81573      34.38401
 342490.2799      588.77466      34.38199
 344255.6869      209.92755      34.37897
 346021.1026       12.15935      34.37817
 347786.5270      -33.08058      34.37842
 349551.9427      -60.26030      34.37885
 351317.3585     -401.02005      34.36906
 354848.1901     -178.15828      34.37648
 356613.6146      -81.83717      34.37610
 358379.0218      -50.96197      34.37787
 360144.4377      -29.14667      34.37988
 361909.8536     -160.69412      34.37582
 363675.2696     -447.27325      34.37003
 365440.6942     -743.92560      34.36574
 367206.1015     -799.41748      34.36970
 368971.5175     -645.45868      34.36500
 370736.9422     -738.14392      34.36418
 372502.3496     -782.01294      34.36638
 374267.7657     -452.39926      34.37647
