#   Time (s)     Flux (ppm)    Error (ppm)
      0.0000      219.34509      18.56353
   1765.4412      528.21637      18.59891
   3530.8652      105.26180      18.60431
   5296.3066     -361.62137      18.60215
   7061.7393     -614.34509      18.59412
   8827.1633     -354.52844      18.60237
  10592.6047        2.62260      18.61393
  12358.0375     -116.58669      18.60804
  14123.4617     -373.48270      18.61210
  15888.9032     -443.04132      18.61178
  17654.3361     -155.80655      18.61527
  19419.7604      -69.79704      18.61753
  21185.2020     -476.06229      18.61256
  22950.6349     -484.04932      18.61287
  24716.0766     -235.02112      18.61562
  26481.5010     -427.36530      18.61894
  28246.9341     -603.97388      18.61360
  30012.3672     -498.89087      18.61682
  31777.8003       -5.12600      18.61882
  33543.2335      157.95230      18.62581
  35308.6666     -176.31055      18.62102
  37074.0999     -383.73471      18.61895
  38839.5418     -329.25604      18.61758
  40604.9750     -166.29697      18.62583
  42370.3997     -127.61354      18.62186
  44135.8417     -193.53629      18.62206
  45901.2751     -334.26285      18.62049
  47666.6999     -461.99561      18.62375
  49432.1419     -457.52527      18.62600
  51197.5754     -154.19722      18.62722
  52963.0003       96.79794      18.62875
  54728.4424      312.56677      18.62769
  56493.8760      132.91837      18.62778
  58259.3182       35.40516      18.62727
  60024.7432     -280.32065      18.62018
  61790.1769     -338.13715      18.62600
  63555.6192        9.89437      18.62771
  65321.0443      411.27203      18.63377
  67086.4780      259.16101      18.62973
  68851.9205     -255.88274      18.62590
  70617.3456     -572.02576      18.62376
  72382.7795     -326.27582      18.62335
  74148.2220       -0.95367      18.62775
  75913.6472      117.54036      18.62379
  77679.0898       67.59167      18.62862
  79444.5238     -191.27130      18.62641
  81209.9578     -385.58246      18.62792
  82975.3918     -555.93250      18.62274
  84740.8259     -416.04041      18.62015
  86506.2599     -204.20551      18.63089
  88271.6941     -392.85422      18.62381
  90037.1282     -562.25061      18.62331
  91802.5624     -410.25876      18.62904
  93567.9966     -203.84789      18.62745
  97098.8651     -273.88333      18.62892
  98864.2994     -384.39035      18.62622
 100629.7338      -84.99622      18.63019
 102395.1768      136.13701      18.63424
 104160.6026        2.38419      18.63009
 105926.0370     -289.61896      18.62273
 107691.4801     -143.28957      18.63007
 109456.9059      -14.12630      18.62907
 111222.3491      139.23645      18.63373
 112987.7836      114.67934      18.63162
 114753.2096     -116.58669      18.63152
 116518.6528     -288.84412      18.63030
 118284.0875      -47.62411      18.63383
 120049.5135      297.90402      18.63588
 121814.9569      334.14365      18.63334
 123580.3916      112.77199      18.63289
 125345.8350     -145.49493      18.63364
 127111.2612     -203.84789      18.63156
 128876.6960      110.62622      18.63278
 130642.1395      223.04059      18.63605
 132407.5658      223.63663      18.63453
 134173.0007       94.77139      18.63420
 135938.4443      301.83792      18.63996
 137703.8793      481.84393      18.63564
 139469.3056      389.81439      18.63714
 141234.7407      361.56177      18.63583
 143000.1844      211.83490      18.63230
 144765.6195      177.62184      18.63636
 146531.0547      -53.88260      18.63128
 148296.4812     -236.74965      18.63099
 150061.9251     -208.97388      18.63419
 151827.3603       20.98083      18.63399
 153592.7869       22.88818      18.63134
 155358.2309      -89.94341      18.62878
 157123.6662       43.86902      18.63096
 158889.0929      226.49765      18.63512
 160654.5369      244.73666      18.63700
 162419.9724       66.28036      18.63340
 164185.4165     -161.05176      18.63143
 165950.8433     -239.78949      18.63159
 167716.2788       59.36623      18.63071
 169481.7230      347.01825      18.62838
 171247.1499      244.97510      18.63768
 173012.5855      184.89362      18.63071
 174778.0298      335.57416      18.63794
 176543.4569      588.65546      18.63835
 178308.9012      673.17487      18.63726
 180074.3369      401.02005      18.63703
