KIC003744043  1.4761  110.0893  27.5435  75.6351  98.8591  93.7176  112.8631  15.9260  
KIC006117517  0.7819  117.1158  28.8813  99.2106  121.9328  297.0449  118.4188  9.1425  
KIC006144777  2.8547  113.6940  35.0899  75.9311  124.1118  148.6014  125.4879  14.5660  
KIC007060732  5.3251  106.4862  39.9493  56.6082  117.9312  83.8239  130.3758  17.5575  
KIC007619745  4.0301  78.1172  42.1219  66.0992  160.9545  71.9518  170.7728  12.3127  
KIC008366239  5.1714  77.5767  50.8547  45.8259  179.2224  44.2672  184.7334  14.2178  
KIC008475025  4.2746  90.3764  27.3267  92.8469  96.7799  124.8972  111.5829  8.6878  
KIC008718745  2.0539  106.5897  28.6822  93.4668  112.0816  131.8232  128.1684  11.2665  
KIC009145955  2.0240  95.7251  45.0440  53.2081  110.5814  79.3935  128.5284  15.2677  
KIC009267654  4.7164  89.6063  37.1041  73.4842  113.3592  74.1151  117.0295  10.7598  
KIC009475697  2.2582  98.5331  20.8277  104.4419  89.4108  166.0993  114.9260  12.8536  
KIC009882316  3.8346  76.4185  41.6159  55.2043  216.7773  46.1058  179.1754  14.7069  
KIC010123207  3.1685  82.9237  35.1684  79.8301  143.3535  71.7741  160.5843  15.2488  
KIC010200377  5.0877  99.8872  38.0757  69.2927  122.0107  57.0122  142.3950  19.6016  
KIC010257278  5.0873  94.1918  40.8154  72.7026  155.0565  89.3204  148.0286  13.1757  
KIC011353313  4.7649  97.9856  36.4423  51.3710  111.8513  108.0266  124.2245  14.7828  
KIC011913545  3.7859  96.0489  31.1483  96.0401  91.7828  109.5780  109.2741  17.3985  
KIC011968334  6.7249  80.9190  29.9189  95.2551  117.4170  80.7753  141.9632  14.8318  
KIC012008916  4.6038  93.3899  53.4691  60.6059  148.2676  79.4902  167.8013  15.8722  
