KIC003744043  2.5652  121.5864  40.9871  88.6968  108.6699  21.3952
KIC006117517  3.6344  141.6961  47.6164  204.4744  120.0105  16.7584  
KIC006144777  4.3170  126.0956  40.6526  126.7289  122.3911  22.1438  
KIC007060732  5.9811  113.2088  47.6079  76.9105  128.7787  20.1111  
KIC007619745  5.6769  96.1839  74.2175  62.7910  169.0437  14.3822  
KIC008366239  7.0711  83.9165  66.1353  46.4817  185.1019  17.2609  
KIC008475025  5.8229  120.2642  44.9117  92.9907  107.9911  19.6524  
KIC008718745  3.8720  133.4343  51.0060  102.5558  127.2215  18.7000  
KIC009145955  2.6421  111.5282  54.7389  90.5251  128.4370  16.1577  
KIC009267654  6.1047  107.4941  46.9463  53.3486  113.7979  21.6587  
KIC009475697  3.7489  132.8993  40.9946  158.9649  108.2578  20.4582  
KIC009882316  5.8055  85.4417  60.2525  46.1038  171.4572  19.3931  
KIC010123207  5.1750  109.4227  66.7880  65.3219  158.0992  19.3737  
KIC010200377  6.2952  117.5274  53.2765  70.1420  141.4087  20.4934  
KIC010257278  7.8208  109.2551  54.7677  81.5501  148.5145  19.9608  
KIC011353313  5.3294  111.5313  45.7040  92.3540  123.5517  18.0069  
KIC011913545  5.2311  133.1200  52.0715  135.2776  106.4955  20.7580  
KIC011968334  8.7237  118.0538  62.7091  87.9593  138.8028  18.5557  
KIC012008916  5.7351  106.2246  70.9796  80.4715  165.7285  16.8155  
