#BJD - 2454833   Corrected Flux
2755.556269041   1.000838496  
2755.576700933   1.000292711  
2755.597132824   1.000455942  
2755.617564815   1.000331730  
2755.637996606   1.000228968  
2755.658428597   1.000443449  
2755.678860487   1.000201344  
2755.699292277   1.000608606  
2755.719724267   1.000487975  
2755.740156156   1.000624765  
2755.760587945   1.000397031  
2755.801451823   1.000590080  
2755.821883611   1.000166073  
2755.842315599   1.000443343  
2755.862747486   1.000305881  
2755.883179374   1.000460922  
2755.903611261   1.000208369  
2755.924043148   1.000603786  
2755.944475034   1.000364733  
2755.964906920   1.000347605  
2755.985338806   1.000685771  
2756.005770692   1.000327882  
2756.026202577   1.000632613  
2756.046634462   1.000517778  
2756.067066447   1.000511201  
2756.087498231   1.000274769  
2756.107930116   1.000527170  
2756.128362099   1.000769172  
2756.148793883   1.000511382  
2756.169225766   1.000666189  
2756.189657749   1.000456405  
2756.210089532   1.000208618  
2756.230521414   1.000402266  
2756.250953397   1.000366407  
2756.271385178   1.000235318  
2756.291817060   1.000376658  
2756.312249041   1.000666950  
2756.332680822   1.000353002  
2756.353112703   1.000443199  
2756.373544683   1.000592708  
2756.393976464   1.000730413  
2756.414408343   1.000420884  
2756.434840323   1.000457288  
2756.455272202   1.000710438  
2756.475703981   1.000460917  
2756.496135960   1.000429619  
2756.536999816   1.000326911  
2756.557431594   1.000448713  
2756.577863471   1.000766009  
2756.598295449   1.000603939  
2756.618727226   1.000189993  
2756.639159102   1.000363313  
2756.659591079   1.000519222  
2756.680022855   1.000365832  
2756.700454731   1.000652624  
2756.720886606   1.000510933  
2756.741318482   1.000555847  
2756.782182231   1.000135382  
2770.798385776   0.998686994  
2770.818817502   0.998381849  
2770.839249327   0.998434795  
2770.859680952   0.998353977  
2770.880112677   0.998154773  
2770.900544401   0.998460446  
2770.920976126   0.998645778  
2770.941407951   0.998518963  
2770.961839575   0.998447188  
2770.982271299   0.998541926  
2771.002703123   0.998400757  
2771.023134747   0.998164204  
2771.043566471   0.998839094  
2771.063998295   0.998723407  
2771.084429918   0.998856233  
2771.104861641   0.998945218  
2771.125293465   0.998734531  
2771.145725087   0.998766912  
2771.166156910   0.998629649  
2771.186588633   0.998188201  
2771.207020356   0.998842561  
2771.227452078   0.998751016  
2771.247883800   0.998473203  
2771.268315523   0.998223939  
2771.288747245   0.998322850  
2771.309178966   0.998337422  
2771.329610688   0.998222702  
2771.350042510   0.998345518  
2771.370474131   0.998376057  
2771.390905852   0.998249699  
2771.411337674   0.998620539  
2771.431769295   0.998305341  
2771.452201115   0.998685652  
2771.472632836   0.998389856  
2771.493064457   0.998768064  
2771.513496277   0.998338590  
2771.533927997   0.998386217  
2771.554359617   0.998368255  
2771.574791437   0.998045015  
2771.595223157   0.998283041  
2771.615654777   0.998383604  
2771.636086597   0.998183691  
2771.656518216   0.998654812  
2771.676949935   0.998779599  
2771.697381754   0.998496809  
2771.738245192   0.997709351  
2771.758676911   0.997804656  
2771.779108630   0.997829334  
2771.799540348   0.997672796  
2771.819972066   0.997878686  
2771.840403785   0.997573997  
2771.860835602   0.997732673  
2771.881267220   0.997423346  
2771.901698938   0.997432263  
2771.922130756   0.997484947  
2771.942562373   0.997471448  
2771.962994190   0.997333348  
2771.983425908   0.997126560  
2772.003857525   0.997471895  
2772.024289342   0.997285700  
2772.044721058   0.997558167  
2772.065152675   0.997932889  
2772.085584492   0.997628738  
2772.106016208   0.997563578  
2772.126447824   0.997405249  
2772.146879640   0.997489419  
2772.167311356   0.997549900  
2772.187743072   0.997440769  
2772.208174788   0.997398617  
2772.228606503   0.997311205  
2772.249038319   0.997661761  
2772.269469934   0.997326000  
2772.289901649   0.997273124  
2772.310333364   0.997503312  
2772.330765079   0.997487771  
2772.351196794   0.997594725  
2772.371628608   0.997184223  
2772.392060223   0.997200978  
2772.412491937   0.997580820  
2772.432923751   0.997523101  
2772.453355365   0.997120566  
2772.473787079   0.997603389  
2772.494218893   0.997292664  
2772.514650507   0.997533617  
2772.535082320   0.997363645  
2772.555514034   0.997442701  
2772.575945647   0.997039407  
2772.596377460   0.996994179  
2772.616809173   0.997468359  
2772.637240786   0.997110619  
2772.657672599   0.997297988  
2772.678104311   0.997277531  
2772.718967736   0.996891135  
2772.739399448   0.996858180  
2772.759831161   0.997122325  
2772.780262873   0.996721536  
2772.800694584   0.997094710  
2772.821126396   0.996809177  
2772.841558108   0.996858867  
2772.861989719   0.997274108  
2772.882421530   0.997061607  
2772.902853241   0.997080082  
2772.923284852   0.996713372  
2772.943716663   0.997166355  
2772.964148374   0.996982554  
2772.984579985   0.997306816  
2773.005011795   0.996957652  
2773.025443506   0.997153521  
2773.045875116   0.997413452  
2773.066306926   0.997308644  
2773.086738636   0.997039647  
2773.107170246   0.996997445  
2773.127602056   0.996954476  
2773.148033666   0.996934501  
2773.168465475   0.996883975  
2773.188897185   0.997140994  
2773.209328894   0.997116136  
2773.229760603   0.997512394  
2773.250192312   0.997254722  
2773.270624021   0.997403731  
2773.291055730   0.996786460  
2773.311487438   0.996656659  
2773.331919147   0.996865806  
2773.352350855   0.996853932  
2773.372782563   0.997128398  
2773.393214272   0.996991650  
2773.413646080   0.996982643  
2773.434077687   0.997063135  
2773.454509495   0.997155141  
2773.474941203   0.997313377  
2773.495372810   0.997142441  
2773.515804618   0.997008717  
2773.536236325   0.996924752  
2773.556667932   0.997608389  
2773.577099739   0.996843438  
2773.597531446   0.996976640  
2773.617963053   0.997063309  
2773.638394860   0.997182946  
2773.658826566   0.997331996  
2773.679258273   0.997160575  
2773.699689979   0.997306049  
2773.720121685   0.997085279  
