# Kepler Asteroseismic Data
# Red Giant Pixel Corrected data - Corrected and Filtered timeseries, by KaDAT (KASC Data Analysis Team)
# KIC:       9267654
# Version:   1 (Q0-Q13)
# Unique ID: 4769709
# 
# Column 1: Time (truncated barycentric julian date)
# Column 2: Relative flux (ppm)
# Column 3: Flux error (ppm)
#---------------------------
  54953.5386321  -3.4077063656910211e+07                     -Inf
  54953.5590664   1.2024909293064760e+07                     -Inf
  54953.5795007   2.8261523719062794e+07                     -Inf
  54953.5999351   5.6127452970304592e+06                     -Inf
  54953.6203695  -3.2749974663182441e+07                     -Inf
  54953.6408037  -1.0017581072868114e+07                     -Inf
  54953.6612381   1.0423310293428620e+07                     -Inf
  54953.6816725  -8.7380043416644372e+06                     -Inf
  54953.7021067  -4.7358927771960303e+07                     -Inf
  54953.7225411  -3.8215867637518376e+07                     -Inf
  54953.7429755  -4.1229253191170819e+07                     -Inf
  54953.7634098  -2.0997494992349576e+07                     -Inf
  54953.7838441  -2.4832546980852626e+07                     -Inf
  54953.8042785  -2.0002904066384107e+07                     -Inf
  54953.8247128  -2.1415421902102407e+07                     -Inf
  54953.8451471   1.8265375516116478e+07                     -Inf
  54953.8655815  -2.2615150451098145e+06                     -Inf
  54953.8860159  -4.9647452878659241e+07                     -Inf
  54953.9064502  -8.2432343205888182e+07                     -Inf
  54953.9268845  -6.2407764903237559e+07                     -Inf
  54953.9473190  -2.3312845396083426e+07                     -Inf
  54953.9677532  -5.3537673696225755e+07                     -Inf
  54953.9881875  -7.9918867345475227e+07                     -Inf
  54954.0086218  -9.9911910036450863e+07                     -Inf
  54954.0290562  -5.2452259736052275e+07                     -Inf
  54954.0494906  -2.7399658358486548e+07                     -Inf
  54954.0699249  -4.0420396205310196e+07                     -Inf
  54954.0903593  -8.6120771574405193e+07                     -Inf
  54954.1107936  -7.4288677880306855e+07                     -Inf
  54954.1312279  -2.1970549778554194e+07                     -Inf
  54954.1516622  -2.6075124326680541e+07                     -Inf
  54954.1720966  -6.7536582156267270e+07                     -Inf
  54954.1925310  -6.8507453528971061e+07                     -Inf
  54954.2129652  -3.2526666045574002e+07                     -Inf
  54954.2333997  -9.8138799358223546e+06                     -Inf
  54954.2538340  -7.8209987282713205e+06                     -Inf
  54954.2742682  -7.1625355482640654e+07                     -Inf
  54954.2947026  -8.1944176681870699e+07                     -Inf
  54954.3151370  -5.7471774351109445e+07                     -Inf
  54954.3355714  -3.0533971246215623e+07                     -Inf
  54954.3560056  -3.8987619018111438e+07                     -Inf
  54954.3764400  -5.9314363460730605e+07                     -Inf
  54954.3968744  -8.1109689635165840e+07                     -Inf
  54954.4173086  -4.7877753961681612e+07                     -Inf
  54954.4377430  -2.6192254776333421e+07                     -Inf
  54954.4581774  -1.2449338443264883e+07                     -Inf
  54954.4786117  -1.7093942479912017e+07                     -Inf
  54954.4990460  -4.7405593577911362e+07                     -Inf
  54954.5194803  -6.3606220384584889e+07                     -Inf
  54954.5399148  -6.0345554694658637e+07                     -Inf
  54954.5603491  -6.0297044965011045e+07                     -Inf
  54954.5807834  -1.9914873585267387e+07                     -Inf
  54954.6012178  -3.1333206621182326e+07                     -Inf
  54954.6216521  -1.2460380616158552e+07                     -Inf
  54954.6420864  -2.5696142366296049e+07                     -Inf
  54954.6625207  -1.6818081696387954e+07                     -Inf
  54954.6829552  -4.7439986076723278e+07                     -Inf
  54954.7033894  -4.2061752030302942e+07                     -Inf
  54954.7238237  -2.5237298454237297e+07                     -Inf
  54954.7442582  -2.0198276009679381e+07                     -Inf
  54954.7646924  -5.7432096806209408e+07                     -Inf
  54954.7851268  -7.4663957416249111e+07                     -Inf
  54954.8055611  -6.6401028600150295e+07                     -Inf
  54954.8259954   8.8375677377847377e+06                     -Inf
  54954.8464298   1.6132383189157767e+07                     -Inf
  54954.8668641  -5.5205815377782010e+07                     -Inf
  54954.8872985  -6.2506382994047500e+07                     -Inf
  54954.9077328  -3.1211352934963405e+06                     -Inf
  54954.9281671   3.6258617556233451e+07                     -Inf
  54954.9486014   3.3797290756165221e+07                     -Inf
  54954.9690358   2.8116695910003590e+06                     -Inf
  54954.9894702   1.6438367333321868e+07                     -Inf
  54955.0099044   1.3354835890646230e+07                     -Inf
  54955.0303388  -1.6686937098023979e+07                     -Inf
  54955.0507732  -3.3136994465617847e+07                     -Inf
  54955.0712075  -5.4537031242409244e+07                     -Inf
  54955.0916418  -5.3327238293373890e+07                     -Inf
  54955.1120762  -3.3721254261937752e+07                     -Inf
  54955.1325105  -5.6127224899145320e+07                     -Inf
  54955.1529448  -7.1570614141094685e+07                     -Inf
  54955.1733792  -3.4071818683467790e+07                     -Inf
  54955.1938136  -3.4680473566825755e+07                     -Inf
  54955.2142478  -4.6000800019922592e+07                     -Inf
  54955.2346821  -3.3271486493122451e+07                     -Inf
  54955.2551166  -2.9681000536284409e+07                     -Inf
  54955.2755508  -1.1049219422849298e+07                     -Inf
  54955.2959852   1.3186971260519659e+07                     -Inf
  54955.3164196  -7.3373221844144780e+06                     -Inf
  54955.3368538   1.2026486806094691e+07                     -Inf
  54955.3572882   8.3273086419799663e+06                     -Inf
  54955.3777225   8.0477617148949271e+06                     -Inf
  54955.3981569   1.0220730138525886e+07                     -Inf
  54955.4185912  -7.9505528664056576e+04                     -Inf
  54955.4390255  -3.7312862375779757e+06                     -Inf
  54955.4594600   4.3014285165534183e+07                     -Inf
  54955.4798942   7.6008840536025301e+07                     -Inf
  54955.5003285   9.0920515128029689e+07                     -Inf
  54955.5207628   4.3043238607609846e+07                     -Inf
